resort_id,sector,type,opening,snowmaking,grooming,notes,name,subtype,gladed_trail,with_snowmaking,global_status
,West Mountain,trail,closed,false,false,,Ram Pasture Glade,most_difficult,false,false,closed
,King Pine,trail,open,false,true,,Ramdown,more_difficult,false,false,grooming
,Brackett Basin,trail,closed,,,,Red Horse Glade,more_difficult,false,false,closed
,Sugarloaf Outdoor Center,trail,closed,,false,,Red Stallion,more_difficult,false,false,closed
,Sugarloaf Outdoor Center,trail,closed,,false,,Redington Connector,easier,false,false,closed
,Sugarloaf Outdoor Center,trail,closed,,false,,Redington Pond Loop,more_difficult,false,false,closed
,King Pine,trail,open,false,false,,Ripsaw,extremely_difficult,false,false,open
,Whiffletree,trail,open,false,false,,Rollway (EWD),easier,false,false,open
,Brackett Basin,trail,closed,,,,Rough Cut Glade,more_difficult,false,false,closed
,Sugarloaf Outdoor Center,trail,open,,true,,S-Turns,easier,false,false,grooming
,Double Runner,trail,closed,false,false,,Schipper's Streak,easier,false,false,closed
,Sugarloaf Outdoor Center,trail,open,,true,,Seven Bridges,more_difficult,false,false,grooming
,SuperQuad,trail,open,false,false,,Sheerboom,most_difficult,false,false,open
,Whiffletree,trail,open,false,true,,Slasher,more_difficult,false,false,grooming
,Brackett Basin,trail,closed,,,,Slashfire,extremely_difficult,false,false,closed
,Skyline,trail,open,false,true,,Sluice,more_difficult,false,false,grooming
,Skyline,trail,open,false,false,,Sluice Chute,most_difficult,false,false,open
,Skyline,trail,open,false,false,,Sluice Headwall,most_difficult,false,false,open
,Base Area,trail,open,false,true,,Snowbrook,easier,false,false,grooming
,Sugarloaf Outdoor Center,trail,open,,true,,Snowbrook Trail,more_difficult,false,false,grooming
,Sugarloaf Outdoor Center,trail,open,,true,,South Horn,most_difficult,false,false,grooming
,Skyline,trail,open,false,true,,Spillway X-Cut,most_difficult,false,false,grooming
,SuperQuad,trail,open,,false,,Spurline,more_difficult,false,false,open
,Whiffletree,trail,closed,false,false,,Stubs Glade,most_difficult,false,false,closed
,Skyline,trail,closed,false,false,,Stump Shot,most_difficult,false,false,closed
,Sugarloaf Outdoor Center,trail,open,,true,,Sunny Breeze,easier,false,false,grooming
,SuperQuad,trail,closed,false,false,,Swedish Fiddle Glade,most_difficult,false,false,closed
,Brackett Basin,trail,closed,,,,Sweeper Glade One,extremely_difficult,false,false,closed
,Brackett Basin,trail,closed,,,,Sweeper Glade Two,extremely_difficult,false,false,closed
,West Mountain,trail,closed,false,false,,Telos Cut,most_difficult,false,false,closed
,Sugarloaf Outdoor Center,trail,open,,true,,The Vista,more_difficult,false,false,grooming
,Base Area,trail,open,false,true,,TheBirches,easier,false,false,grooming
,Base Area,trail,open,false,true,,TheLanding,easier,false,false,grooming
,Timberline,trail,closed,false,false,,Tin Pants,more_difficult,false,false,closed
,Whiffletree,trail,open,false,true,,Tohaul,more_difficult,false,false,grooming
,Skyline,trail,open,false,true,,Tote Road,more_difficult,false,false,grooming
,Timberline,trail,open,false,true,,Tote Road Ext,more_difficult,false,false,grooming
,Double Runner,trail,open,false,false,,Tote Road X-Cut,more_difficult,false,false,open
,Skyline,trail,open,false,false,,Upper Binder,most_difficult,false,false,open
,King Pine,trail,closed,false,false,,Upper Boomauger,most_difficult,false,false,closed
,Skyline,trail,open,false,false,,Upper Bubblecuffer,extremely_difficult,false,false,open
,Whiffletree,trail,open,false,false,,Upper Buckboard,more_difficult,false,false,open
,SuperQuad,trail,open,false,true,,Upper Competition Hill,most_difficult,false,false,grooming
,Whiffletree,trail,open,false,false,,Upper Cruiser,more_difficult,false,false,open
,Skyline,trail,open,false,false,,Upper Double Bitter,most_difficult,false,false,open
,West Mountain,trail,open,false,false,,Upper Glancer,easier,false,false,open
,Skyline,trail,open,false,true,,Upper Gondola Line,extremely_difficult,false,false,grooming
,Brackett Basin,trail,closed,,,,Upper Kennebec Glade,most_difficult,false,false,closed
,Skyline,trail,open,false,true,,Upper Narrow Gauge,most_difficult,false,false,grooming
,Whiffletree,trail,closed,false,false,,Upper Pole Line,more_difficult,false,false,closed
,Whiffletree,trail,closed,false,false,,Upper Rookie River Glade,most_difficult,false,false,closed
,West Mountain,trail,open,false,true,,Upper Scoot,more_difficult,false,false,grooming
,SuperQuad,trail,open,false,false,,Upper Skidder,extremely_difficult,false,false,open
,Skyline,trail,open,false,false,,Upper Spillway,most_difficult,false,false,open
,Whiffletree,trail,open,false,false,,Upper Springboard,more_difficult,false,false,open
,Whiffletree,trail,closed,false,false,,Upper Stubs,easier,false,false,closed
,Timberline,trail,closed,false,false,,Upper Timberline,easier,false,false,closed
,West Mountain,trail,open,false,false,,Upper West Mountain,more_difficult,false,false,open
,Whiffletree,trail,open,false,true,,Upper Whiffletree,more_difficult,false,false,grooming
,West Mountain,trail,open,false,false,,Upper Windrow,more_difficult,false,false,open
,Skyline,trail,open,false,false,,Upper Winters Way,extremely_difficult,false,false,open
,Sugarloaf Outdoor Center,trail,closed,,false,,V2,more_difficult,false,false,closed
,Sugarloaf Outdoor Center,trail,open,,true,,Warming Hut Trail,easier,false,false,grooming
,Skyline,trail,open,false,true,,Wedge,most_difficult,false,false,grooming
,Sugarloaf Outdoor Center,trail,open,,true,,West Branch,more_difficult,false,false,grooming
,West Mountain,trail,closed,false,false,,West Mountain X-Cut,easier,false,false,closed
,Skyline,trail,open,false,false,,West Sluice Chute,most_difficult,false,false,open
,Skyline,trail,open,false,true,,White Nitro,extremely_difficult,false,false,grooming
,Snowfields™ Summit,trail,closed,false,false,,White Nitro Ext,extremely_difficult,false,false,closed
,King Pine,trail,open,false,true,,Widowmaker,most_difficult,false,false,grooming
,West Mountain,trail,open,false,true,,Windrow Ext,easier,false,false,grooming
,Snowfields™ Summit,trail,closed,false,false,,Winters Way Ext,extremely_difficult,false,false,closed
